Product_name,Product_link,product_rating,product_price,product_sold,crawl_timestamp
"Balo Laptop chống sốc, ba lô đeo vai chất liệu vải sợi nilon polyeste dùng cho học sinh BL21 thời trang nam nữ dành",https://shopee.vn/Balo-Laptop-ch%E1%BB%91ng-s%E1%BB%91c-ba-l%C3%B4-%C4%91eo-vai-ch%E1%BA%A5t-li%E1%BB%87u-v%E1%BA%A3i-s%E1%BB%A3i-nilon-polyeste-d%C3%B9ng-cho-h%E1%BB%8Dc-sinh-BL21-th%E1%BB%9Di-trang-nam-n%E1%BB%AF-d%C3%A0nh-i.602884089.10474830797?sp_atk=d8aa03e3-a3d6-4c20-9dab-e42af223a810&xptdk=d8aa03e3-a3d6-4c20-9dab-e42af223a810,4.7,₫129.000,18000,2023-10-08 15:30:11.366873+07:00
"Balo Laptop chống sốc Cặp Đựng Laptop dùng đi học, đi làm, đi chơi có cổng sạc",https://shopee.vn/Balo-Laptop-ch%E1%BB%91ng-s%E1%BB%91c-C%E1%BA%B7p-%C4%90%E1%BB%B1ng-Laptop-d%C3%B9ng-%C4%91i-h%E1%BB%8Dc-%C4%91i-l%C3%A0m-%C4%91i-ch%C6%A1i-c%C3%B3-c%E1%BB%95ng-s%E1%BA%A1c-i.13986205.10986262833?sp_atk=6f070093-64d2-4e7d-a882-87132097694e&xptdk=6f070093-64d2-4e7d-a882-87132097694e,4.7,,10000,2023-10-08 15:30:17.148143+07:00
Balo NY siêu hot chống thấm nước,https://shopee.vn/Balo-NY-si%C3%AAu-hot-ch%E1%BB%91ng-th%E1%BA%A5m-n%C6%B0%E1%BB%9Bc-i.7575114.10425533290?sp_atk=c62fc5a6-c832-4d96-8e98-e6c4b32e81cf&xptdk=c62fc5a6-c832-4d96-8e98-e6c4b32e81cf,4.5,₫300.000,415,2023-10-08 15:30:20.942095+07:00
Túi trống gym dây kéo vàng adidas thể thao,https://shopee.vn/T%C3%BAi-tr%E1%BB%91ng-gym-d%C3%A2y-k%C3%A9o-v%C3%A0ng-adidas-th%E1%BB%83-thao-i.903748137.23608633592?sp_atk=6c6b6e79-f095-413a-a57a-05688bb7b7df&xptdk=6c6b6e79-f095-413a-a57a-05688bb7b7df,5.0,,253,2023-10-08 15:30:24.697553+07:00
"Balo laptop nam nữ 14 inch chống sốc, túi đựng máy tính rẻ đẹp thời trang có cổng sạc usb",https://shopee.vn/Balo-laptop-nam-n%E1%BB%AF-14-inch-ch%E1%BB%91ng-s%E1%BB%91c-t%C3%BAi-%C4%91%E1%BB%B1ng-m%C3%A1y-t%C3%ADnh-r%E1%BA%BB-%C4%91%E1%BA%B9p-th%E1%BB%9Di-trang-c%C3%B3-c%E1%BB%95ng-s%E1%BA%A1c-usb-i.552533872.13021917609?sp_atk=3c9d257d-0409-4d09-aec2-929d6b589784&xptdk=3c9d257d-0409-4d09-aec2-929d6b589784,4.8,,4000,2023-10-08 15:30:29.435367+07:00
Balo thời trang chống nước the north face Fuse box,https://shopee.vn/Balo-th%E1%BB%9Di-trang-ch%E1%BB%91ng-n%C6%B0%E1%BB%9Bc-the-north-face-Fuse-box-i.126041855.5432959087?sp_atk=4fedfcd6-ba75-4efb-a685-f51cfa17b77e&xptdk=4fedfcd6-ba75-4efb-a685-f51cfa17b77e,4.8,,166,2023-10-08 15:30:33.451693+07:00
Ba Lô Mini Chống Thấm Nước Chống Trộm Trọng Lượng Nhẹ Thời Trang Cho Nam Và Nữ 9.2,https://shopee.vn/Ba-L%C3%B4-Mini-Ch%E1%BB%91ng-Th%E1%BA%A5m-N%C6%B0%E1%BB%9Bc-Ch%E1%BB%91ng-Tr%E1%BB%99m-Tr%E1%BB%8Dng-L%C6%B0%E1%BB%A3ng-Nh%E1%BA%B9-Th%E1%BB%9Di-Trang-Cho-Nam-V%C3%A0-N%E1%BB%AF-9.2-i.842235688.19141422777?sp_atk=36a8466d-e562-46a8-be5f-6f309743d462&xptdk=36a8466d-e562-46a8-be5f-6f309743d462,4.7,,103,2023-10-08 15:30:37.276563+07:00
Dây cột tóc nữ Accessories phụ kiện tóc dễ thương phong cách đơn giản Local Brand M Midori Studio,https://shopee.vn/D%C3%A2y-c%E1%BB%99t-t%C3%B3c-n%E1%BB%AF-Accessories-ph%E1%BB%A5-ki%E1%BB%87n-t%C3%B3c-d%E1%BB%85-th%C6%B0%C6%A1ng-phong-c%C3%A1ch-%C4%91%C6%A1n-gi%E1%BA%A3n-Local-Brand-M-Midori-Studio-i.9770997.6731953419?sp_atk=7d4bb7d7-03cc-4e15-9e56-8d44e32c28ef&xptdk=7d4bb7d7-03cc-4e15-9e56-8d44e32c28ef,4.9,₫9.000,103,2023-10-08 15:30:41.089171+07:00
"Balo thời trang, đi học, đựng laptop - BALO NẮP QTK 2 Khoá",https://shopee.vn/Balo-th%E1%BB%9Di-trang-%C4%91i-h%E1%BB%8Dc-%C4%91%E1%BB%B1ng-laptop-BALO-N%E1%BA%AEP-QTK-2-Kho%C3%A1-i.64843176.4037151119?sp_atk=d9ebb9b1-ef04-4cf7-8b24-b4884b090ccc&xptdk=d9ebb9b1-ef04-4cf7-8b24-b4884b090ccc,4.5,,3000,2023-10-08 15:30:44.978438+07:00
Balo Thời Trang Nam Đựng Laptop Máy Tính Xách Tay Nhiều Ngăn Có Cổng Sạc Usb Thông Minh BL13 SUNO STORE,https://shopee.vn/Balo-Th%E1%BB%9Di-Trang-Nam-%C4%90%E1%BB%B1ng-Laptop-M%C3%A1y-T%C3%ADnh-X%C3%A1ch-Tay-Nhi%E1%BB%81u-Ng%C4%83n-C%C3%B3-C%E1%BB%95ng-S%E1%BA%A1c-Usb-Th%C3%B4ng-Minh-BL13-SUNO-STORE-i.502980462.13539318679?sp_atk=5c3ff026-f75d-4ee9-b682-ef617085e310&xptdk=5c3ff026-f75d-4ee9-b682-ef617085e310,4.5,₫35.000,94,2023-10-08 15:30:48.629786+07:00
"Balo laptop PADO thời trang nam nữ đi học đi làm 496 chất liệu chống thấm, chứa được tối đa laptop 15.6inch",https://shopee.vn/Balo-laptop-PADO-th%E1%BB%9Di-trang-nam-n%E1%BB%AF-%C4%91i-h%E1%BB%8Dc-%C4%91i-l%C3%A0m-496-ch%E1%BA%A5t-li%E1%BB%87u-ch%E1%BB%91ng-th%E1%BA%A5m-ch%E1%BB%A9a-%C4%91%C6%B0%E1%BB%A3c-t%E1%BB%91i-%C4%91a-laptop-15.6inch-i.319641612.13153612756?sp_atk=3e63bd49-ce4a-4469-9571-1cd8dd74e1e6&xptdk=3e63bd49-ce4a-4469-9571-1cd8dd74e1e6,4.8,₫299.000,102,2023-10-08 15:30:53.543144+07:00
Túi Chống Sốc Đựng Laptop STARGO LEDGER 14 Inch,https://shopee.vn/T%C3%BAi-Ch%E1%BB%91ng-S%E1%BB%91c-%C4%90%E1%BB%B1ng-Laptop-STARGO-LEDGER-14-Inch-i.46788019.3556849119?sp_atk=073e9c11-950c-4558-bd35-572898e9d4f4&xptdk=073e9c11-950c-4558-bd35-572898e9d4f4,4.9,,187,2023-10-08 15:30:58.450226+07:00
Balo laptop du lịch thẻ thao chống nước,https://shopee.vn/Balo-laptop-du-l%E1%BB%8Bch-th%E1%BA%BB-thao-ch%E1%BB%91ng-n%C6%B0%E1%BB%9Bc-i.126041855.2687842477?sp_atk=112344e3-6eaf-41aa-833f-ea16718c2b31&xptdk=112344e3-6eaf-41aa-833f-ea16718c2b31,4.9,,213,2023-10-08 15:31:02.210058+07:00
"Balo laptop Nam Nữ 15 6 inch chống sốc có cổng USB, túi đựng máy tính rẻ đẹp thời trang sang trọng",https://shopee.vn/Balo-laptop-Nam-N%E1%BB%AF-15-6-inch-ch%E1%BB%91ng-s%E1%BB%91c-c%C3%B3-c%E1%BB%95ng-USB-t%C3%BAi-%C4%91%E1%BB%B1ng-m%C3%A1y-t%C3%ADnh-r%E1%BA%BB-%C4%91%E1%BA%B9p-th%E1%BB%9Di-trang-sang-tr%E1%BB%8Dng-i.809930563.18024519365?sp_atk=006f81fa-dc5e-4bd8-b558-3e0f04901455&xptdk=006f81fa-dc5e-4bd8-b558-3e0f04901455,4.6,,205,2023-10-08 15:31:07.136605+07:00
"Combo balo 4 món thời trang ulzzang, Set balo 4 món đi học, balo 4 món - mèo hai khóa đọc sách kẹo",https://shopee.vn/Combo-balo-4-m%C3%B3n-th%E1%BB%9Di-trang-ulzzang-Set-balo-4-m%C3%B3n-%C4%91i-h%E1%BB%8Dc-balo-4-m%C3%B3n-m%C3%A8o-hai-kh%C3%B3a-%C4%91%E1%BB%8Dc-s%C3%A1ch-k%E1%BA%B9o-i.64843176.11971411515?sp_atk=343b4792-9d0d-4821-bc3f-cf4b940e910e&xptdk=343b4792-9d0d-4821-bc3f-cf4b940e910e,4.3,,1000,2023-10-08 15:31:11.888596+07:00
Áo thun Nam Nữ form rộng tay lỡ Phông Unisex LOVER Local Brand MIDORI FOR MAN,https://shopee.vn/%C3%81o-thun-Nam-N%E1%BB%AF-form-r%E1%BB%99ng-tay-l%E1%BB%A1-Ph%C3%B4ng-Unisex-LOVER-Local-Brand-MIDORI-FOR-MAN-i.462950104.10618998968?sp_atk=05c42326-5402-4172-a250-5f0a928c80ca&xptdk=05c42326-5402-4172-a250-5f0a928c80ca,4.9,,21,2023-10-08 15:31:15.633929+07:00
50x37cm - 4 tầng - MP19B (Giá Gốc 325K) - BALO LAPTOP SIÊU RỘNG DU LỊCH NAM NỮ CHẤT LƯỢNG ĐI HỌC ĐI LÀM,https://shopee.vn/50x37cm-4-t%E1%BA%A7ng-MP19B-(Gi%C3%A1-G%E1%BB%91c-325K)-BALO-LAPTOP-SI%C3%8AU-R%E1%BB%98NG-DU-L%E1%BB%8ACH-NAM-N%E1%BB%AE-CH%E1%BA%A4T-L%C6%AF%E1%BB%A2NG-%C4%90I-H%E1%BB%8CC-%C4%90I-L%C3%80M-i.220328891.8954646948?sp_atk=221e5c38-68fb-4048-b2fd-1a1df29e23b2&xptdk=221e5c38-68fb-4048-b2fd-1a1df29e23b2,3.8,,170,2023-10-08 15:31:19.290526+07:00
Balo laptop chống nước The North Face Fuse Box to nam nữ,https://shopee.vn/Balo-laptop-ch%E1%BB%91ng-n%C6%B0%E1%BB%9Bc-The-North-Face-Fuse-Box-to-nam-n%E1%BB%AF-i.408945264.9635877078?sp_atk=7f140364-6269-4eb8-b1b4-21659a2f3f25&xptdk=7f140364-6269-4eb8-b1b4-21659a2f3f25,4.9,,59,2023-10-08 15:31:24.142542+07:00
Balo laptop CT21 V2.0 Chuyentactical - Ctactical,https://shopee.vn/Balo-laptop-CT21-V2.0-Chuyentactical-Ctactical-i.230894819.21304632154?sp_atk=7d4acdd7-8fa7-4020-adac-ba6ddf64b854&xptdk=7d4acdd7-8fa7-4020-adac-ba6ddf64b854,4.9,,227,2023-10-08 15:31:28.910025+07:00
"BALO LAPTOP DELL, HP , LENOVO ,ACER , THINKPAD 14 15 INCH HÀNG SIÊU BỀN, ĐẸP, CHẮC CHẮN",https://shopee.vn/BALO-LAPTOP-DELL-HP-LENOVO-ACER-THINKPAD-14-15-INCH-H%C3%80NG-SI%C3%8AU-B%E1%BB%80N-%C4%90%E1%BA%B8P-CH%E1%BA%AEC-CH%E1%BA%AEN-i.844277208.21064764678?sp_atk=625e7e28-3aed-485f-83b7-5b74e12063f9&xptdk=625e7e28-3aed-485f-83b7-5b74e12063f9,4.8,,32,2023-10-08 15:31:33.764872+07:00
"Balo chính hãng Gu Bag đựng máy tính cao cấp, đựng laptop chống nước, chống sốc, kiểu dáng công sở dành cho nam nữ",https://shopee.vn/Balo-ch%C3%ADnh-h%C3%A3ng-Gu-Bag-%C4%91%E1%BB%B1ng-m%C3%A1y-t%C3%ADnh-cao-c%E1%BA%A5p-%C4%91%E1%BB%B1ng-laptop-ch%E1%BB%91ng-n%C6%B0%E1%BB%9Bc-ch%E1%BB%91ng-s%E1%BB%91c-ki%E1%BB%83u-d%C3%A1ng-c%C3%B4ng-s%E1%BB%9F-d%C3%A0nh-cho-nam-n%E1%BB%AF-i.343957836.11722993286?sp_atk=b32cdd21-9114-4963-b17b-6475bf8ba5dd&xptdk=b32cdd21-9114-4963-b17b-6475bf8ba5dd,4.9,,1000,2023-10-08 15:31:37.532514+07:00
"Balo Laptop Nam Nữ Thời Trang Chống Nước Đựng Máy Tính ,Quần ÁO Du Lịch Nhiều Ngăn Có Chân Sạc Thông Minh SUNO BL12",https://shopee.vn/Balo-Laptop-Nam-N%E1%BB%AF-Th%E1%BB%9Di-Trang-Ch%E1%BB%91ng-N%C6%B0%E1%BB%9Bc-%C4%90%E1%BB%B1ng-M%C3%A1y-T%C3%ADnh-Qu%E1%BA%A7n-%C3%81O-Du-L%E1%BB%8Bch-Nhi%E1%BB%81u-Ng%C4%83n-C%C3%B3-Ch%C3%A2n-S%E1%BA%A1c-Th%C3%B4ng-Minh-SUNO-BL12-i.502980462.11562061995?sp_atk=911402c8-99bd-4aa8-ac62-b4738d32c010&xptdk=911402c8-99bd-4aa8-ac62-b4738d32c010,4.6,,154,2023-10-08 15:31:42.284890+07:00
Balo DOLANTO BRAND Daypack Backpack,https://shopee.vn/Balo-DOLANTO-BRAND-Daypack-Backpack-i.309807183.11476379845?sp_atk=ae80cc09-3c68-4aab-bc10-c29a625d6b23&xptdk=ae80cc09-3c68-4aab-bc10-c29a625d6b23,4.9,,1000,2023-10-08 15:31:47.096968+07:00
50x37cm - 4 tầng - MP19B (Giá Gốc 325K) - BALO LAPTOP SIÊU RỘNG DU LỊCH NAM NỮ CHẤT LƯỢNG ĐI HỌC ĐI LÀM,https://shopee.vn/50x37cm-4-t%E1%BA%A7ng-MP19B-(Gi%C3%A1-G%E1%BB%91c-325K)-BALO-LAPTOP-SI%C3%8AU-R%E1%BB%98NG-DU-L%E1%BB%8ACH-NAM-N%E1%BB%AE-CH%E1%BA%A4T-L%C6%AF%E1%BB%A2NG-%C4%90I-H%E1%BB%8CC-%C4%90I-L%C3%80M-i.138608761.6488804364?sp_atk=1a50d6b3-3d6b-496a-a882-4e0610512462&xptdk=1a50d6b3-3d6b-496a-a882-4e0610512462,3.8,,152,2023-10-08 15:31:52.127130+07:00
"Balo đi học nam nữ, du lịch chất liệu vải dày dặn (kèm video thật)",https://shopee.vn/Balo-%C4%91i-h%E1%BB%8Dc-nam-n%E1%BB%AF-du-l%E1%BB%8Bch-ch%E1%BA%A5t-li%E1%BB%87u-v%E1%BA%A3i-d%C3%A0y-d%E1%BA%B7n-(k%C3%A8m-video-th%E1%BA%ADt)-i.9224727.4260288616?sp_atk=0e2d5c6f-7687-4752-9250-d80335944d5f&xptdk=0e2d5c6f-7687-4752-9250-d80335944d5f,4.9,,3000,2023-10-08 15:31:56.940040+07:00
Balo Laptop 14 Inch Nhỏ Gọn Kim Long KL036,https://shopee.vn/Balo-Laptop-14-Inch-Nh%E1%BB%8F-G%E1%BB%8Dn-Kim-Long-KL036-i.230023756.6617825378?sp_atk=4d8f9568-138b-4ddc-87ea-d0e5b80e27db&xptdk=4d8f9568-138b-4ddc-87ea-d0e5b80e27db,5.0,,69,2023-10-08 15:32:00.663182+07:00
Túi đeo chéo nam nữ unisex vải cao cấp đẹp chống nước balo 1 quai thể thao đựng ipad đeo vai cá tính DW9075,https://shopee.vn/T%C3%BAi-%C4%91eo-ch%C3%A9o-nam-n%E1%BB%AF-unisex-v%E1%BA%A3i-cao-c%E1%BA%A5p-%C4%91%E1%BA%B9p-ch%E1%BB%91ng-n%C6%B0%E1%BB%9Bc-balo-1-quai-th%E1%BB%83-thao-%C4%91%E1%BB%B1ng-ipad-%C4%91eo-vai-c%C3%A1-t%C3%ADnh-DW9075-i.55746979.3570929298?sp_atk=a4be62a6-078d-41b7-bbda-5162f53a60b9&xptdk=a4be62a6-078d-41b7-bbda-5162f53a60b9,4.9,,648,2023-10-08 15:32:04.477233+07:00
